id,cntry,country,sex,agea,yrbrn,mars_status,region_cat,education_level,main_activity,occupation,feel_income,born_in_cntry,citizen,minority_ethnic,left_right,church,hhmmb,locality,voted,backstory,dweight,pspwght,pweight,anweight,stratum,psu
3338,GB,United Kingdom,Male,77.0,1941.0,Widowed / Civil partner died,UKG,"(Modern) Apprenticeship, Advanced (Modern) Apprenticeship, SVQ/NVQ/Key Skills Level 1 and 2, City and Guilds Craft/Inter",Retired,Manager,Living comfortably on present income,Yes,Yes,No,3.0,Never,1.0,Suburbs or outskirts of big city,Yes,"I am a male. I am 77 years old and I was born in 1941. I am Widowed / Civil partner died. I am from West Midlands (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is (Modern) Apprenticeship, Advanced (Modern) Apprenticeship, SVQ/NVQ/Key Skills Level 1 and 2, City and Guilds Craft/Inter. I finished my full-time education at age 15. In the last week I have mainly been retired. My occupation is Manufacturing managers. I was previously a member of a trade union but am not now. My household income is in the 5th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 6. I meet socially with friends, relatives or colleagues less than once a month. On a scale from 0 to 10, I believe most people can be trusted: 1. On a scale from 0 to 10, I believe most people try to be fair: 1. On a scale from 0 to 10, I believe most people try to be helpful: 2. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 3. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 4. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.5862358212471008,2.4683315753936768,1.4470243453979492,1412,12208
3368,GB,United Kingdom,Male,56.0,1962.0,None of these (NEVER married or in legally registered civil partnership),UKJ,None of these,Paid work,Elementary occupation,Coping on present income,No,Yes,No,,Less often,1.0,Town or small city,No,"I am a male. I am 56 years old and I was born in 1962. I am never married or in a civil partnership. I am from South East (England). I was not born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 17. In the last week I have mainly been paid work. My occupation is Freight handlers. I was previously a member of a trade union but am not now. My household income is in the 2nd decile nationally. I would say that we are coping on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 1. On a scale from 0 to 10, my life satisfaction is 1. I meet socially with friends, relatives or colleagues every day. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 9. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 4. I am not at all interested in politics. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 0. On a scale from 0 to 10, my trust in politicians is 0. I have felt discriminated against in the last 12 months.",0.5093864798545837,0.3678170144557953,2.4683315753936768,0.9078943729400635,1507,12146
3391,GB,United Kingdom,Female,52.0,1966.0,Legally divorced / Civil partnership dissolved,UKN,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",Permanently sick or disabled,Service and sales worker,Very difficult on present income,Yes,Yes,No,,Never,2.0,Town or small city,Yes,"I am a female. I am 52 years old and I was born in 1966. I am Legally divorced / Civil partnership dissolved. I am from Northern Ireland. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 19. In the last week I have mainly been permanently sick or disabled. My occupation is Child care workers. I have never been a member of a trade union. My household income is in the 1st decile nationally. I would say that we are very difficult on present income. I would describe my general health as bad. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 6. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 2. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 6. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 4. I am not at all interested in politics. I voted in the last general election. I voted for Democratic Unionist Party (nir). I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.362936407327652,2.4683315753936768,0.8958473801612854,1557,12120
3408,GB,United Kingdom,Male,85.0,1933.0,,UKE,None of these,Retired,Craft or related trades worker,Living comfortably on present income,Yes,Yes,No,3.0,Never,2.0,A big city,Yes,"I am a male. I am 85 years old and I was born in 1933. I am single. I am from Yorkshire and the Humber. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 15. In the last week I have mainly been retired. My occupation is Metal working machine tool setters and operators. I am currently a member of a trade union. My household income is in the 3rd decile nationally. I would say that we are living comfortably on present income. I would describe my general health as bad. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 7. I meet socially with friends, relatives or colleagues less than once a month. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 7. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 4. I am not at all interested in politics. On a left (0) to right (10) political scale, I would place myself at 3. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 8. On a scale from 0 to 10, my trust in politicians is 2. I have not felt discriminated against in the last 12 months.",1.0187729597091675,0.7307482361793518,2.4683315753936768,1.8037289381027222,1573,12368
3426,GB,United Kingdom,Female,39.0,1979.0,,UKF,None of these,Paid work,Elementary occupation,Coping on present income,Yes,Yes,No,5.0,Never,4.0,Country village,Yes,"I am a female. I am 39 years old and I was born in 1979. I am single. I am from East Midlands (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 16. In the last week I have mainly been paid work. My occupation is Elementary workers not elsewhere classified. I have never been a member of a trade union. I would say that we are coping on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 10. On a scale from 0 to 10, my life satisfaction is 9. I meet socially with friends, relatives or colleagues once a month. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 8. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 3. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 5. On a scale from 0 to 10, my trust in politicians is 5. I have not felt discriminated against in the last 12 months.",1.528159499168396,1.219587802886963,2.4683315753936768,3.0103471279144287,1400,12390
3468,GB,United Kingdom,Female,33.0,1985.0,,UKM,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates","Housework, looking after children, others",Professional,Coping on present income,Yes,Yes,No,5.0,Once a week,3.0,Suburbs or outskirts of big city,Yes,"I am a female. I am 33 years old and I was born in 1985. I am single. I am from Scotland. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 24. In the last week I have mainly been housework, looking after children, others. My occupation is Graphic and multimedia designers. I have never been a member of a trade union. My household income is in the 4th decile nationally. I would say that we are coping on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 9. On a scale from 0 to 10, my life satisfaction is 9. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 8. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 8. I am not at all interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 9. On a scale from 0 to 10, my trust in politicians is 6. I have felt discriminated against in the last 12 months.",1.0187729597091675,1.4279277324676514,2.4683315753936768,3.524599075317383,1550,12350
3499,GB,United Kingdom,Male,54.0,1964.0,Legally divorced / Civil partnership dissolved,UKF,None of these,Paid work,"Skilled agricultural, forestry or fishery worker",Coping on present income,Yes,Yes,No,,Never,1.0,Suburbs or outskirts of big city,No,"I am a male. I am 54 years old and I was born in 1964. I am Legally divorced / Civil partnership dissolved. I am from East Midlands (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 14. In the last week I have mainly been paid work. My occupation is Gardeners, horticultural and nursery growers. I was previously a member of a trade union but am not now. My household income is in the 3rd decile nationally. I would say that we are coping on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 5. On a scale from 0 to 10, my life satisfaction is 6. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 3. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 1. I am quite interested in politics. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 3. On a scale from 0 to 10, my trust in politicians is 2. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.5567513108253479,2.4683315753936768,1.3742468357086182,1590,12210
3540,GB,United Kingdom,Female,47.0,1971.0,Widowed / Civil partner died,UKL,"Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC",Paid work,Clerical support worker,Coping on present income,Yes,Yes,No,5.0,Never,3.0,Town or small city,Yes,"I am a female. I am 47 years old and I was born in 1971. I am Widowed / Civil partner died. I am from Wales. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC. I finished my full-time education at age 16. In the last week I have mainly been paid work. My occupation is Accounting and bookkeeping clerks. I have never been a member of a trade union. My household income is in the 5th decile nationally. I would say that we are coping on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 9. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues less than once a month. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 5. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 8. On a scale from 0 to 10, my trust in politicians is 8. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.5163406133651733,2.4683315753936768,1.2744998931884766,1526,12265
3575,GB,United Kingdom,Male,38.0,1980.0,,UKJ,None of these,Paid work,Elementary occupation,Coping on present income,Yes,Yes,No,8.0,Never,4.0,Farm or home in countryside,No,"I am a male. I am 38 years old and I was born in 1980. I am single. I am from South East (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 14. In the last week I have mainly been paid work. My occupation is Agricultural, forestry and fishery labourers. I have never been a member of a trade union. My household income is in the 3rd decile nationally. I would say that we are coping on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 10. On a scale from 0 to 10, my life satisfaction is 10. I meet socially with friends, relatives or colleagues every day. On a scale from 0 to 10, I believe most people can be trusted: 3. On a scale from 0 to 10, I believe most people try to be fair: 3. On a scale from 0 to 10, I believe most people try to be helpful: 3. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 2. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 8. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 5. I have not felt discriminated against in the last 12 months.",1.0187729597091675,1.0365866422653198,2.4683315753936768,2.5586395263671875,1505,12201
3607,GB,United Kingdom,Female,31.0,1987.0,Legally divorced / Civil partnership dissolved,UKE,"3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc)",Paid work,Service and sales worker,Difficult on present income,No,No,,8.0,Never,4.0,Country village,No,"I am a female. I am 31 years old and I was born in 1987. I am Legally divorced / Civil partnership dissolved. I am from Yorkshire and the Humber. I was not born in this country. I am not a citizen of this country. My highest educational qualification is 3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc). I finished my full-time education at age 22. In the last week I have mainly been paid work. My occupation is Home-based personal care workers. I have never been a member of a trade union. My household income is in the 2nd decile nationally. I would say that we are difficult on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 7. I meet socially with friends, relatives or colleagues once a month. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 7. On a scale from 0 to 10, I believe most people try to be helpful: 0. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 8. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 0. On a scale from 0 to 10, my trust in politicians is 1. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.589529812335968,2.4683315753936768,1.4551550149917603,1583,12377
3689,GB,United Kingdom,Male,51.0,1967.0,,UKL,None of these,Permanently sick or disabled,Service and sales worker,Difficult on present income,Yes,Yes,No,0.0,Never,2.0,Town or small city,Yes,"I am a male. I am 51 years old and I was born in 1967. I am single. I am from Wales. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 16. In the last week I have mainly been permanently sick or disabled. My occupation is Shop sales assistants. I have never been a member of a trade union. My household income is in the 2nd decile nationally. I would say that we are difficult on present income. I would describe my general health as bad. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 3. On a scale from 0 to 10, my life satisfaction is 3. I meet socially with friends, relatives or colleagues once a month. On a scale from 0 to 10, I believe most people can be trusted: 3. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 5. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 6. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 0. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 0. On a scale from 0 to 10, my trust in politicians is 1. I have not felt discriminated against in the last 12 months.",1.0187729597091675,1.4142812490463257,2.4683315753936768,3.490915060043335,1524,12451
3752,GB,United Kingdom,Male,84.0,1934.0,Widowed / Civil partner died,UKD,None of these,Retired,Technician or associate professional,Coping on present income,Yes,Yes,No,6.0,Never,1.0,Town or small city,Yes,"I am a male. I am 84 years old and I was born in 1934. I am Widowed / Civil partner died. I am from North West (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 15. In the last week I have mainly been retired. My occupation is Manufacturing supervisors. I was previously a member of a trade union but am not now. My household income is in the 2nd decile nationally. I would say that we are coping on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 6. On a scale from 0 to 10, I believe most people try to be fair: 6. On a scale from 0 to 10, I believe most people try to be helpful: 5. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 3. I am not at all interested in politics. On a left (0) to right (10) political scale, I would place myself at 6. I voted in the last general election. On a scale from 0 to 10, my trust in parliament is 4. On a scale from 0 to 10, my trust in politicians is 2. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.4047486484050751,2.4683315753936768,0.9990538954734802,1466,12213
3766,GB,United Kingdom,Male,29.0,1989.0,None of these (NEVER married or in legally registered civil partnership),UKJ,"3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc)",Paid work,Professional,Living comfortably on present income,Yes,Yes,No,6.0,Never,1.0,Town or small city,Yes,"I am a male. I am 29 years old and I was born in 1989. I am never married or in a civil partnership. I am from South East (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is 3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc). I finished my full-time education at age 21. In the last week I have mainly been paid work. My occupation is Technical and medical sales professionals (excluding ICT). I have never been a member of a trade union. My household income is in the 8th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues every day. On a scale from 0 to 10, I believe most people can be trusted: 7. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 6. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 1. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 6. I voted in the last general election. I voted for Liberal Democrat. On a scale from 0 to 10, my trust in parliament is 6. On a scale from 0 to 10, my trust in politicians is 5. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.6699651479721069,2.4683315753936768,1.6536961793899536,1504,12165
3774,GB,United Kingdom,Female,62.0,1956.0,None of these (NEVER married or in legally registered civil partnership),UKI,"Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC",Paid work,"Skilled agricultural, forestry or fishery worker",Coping on present income,Yes,Yes,No,5.0,Never,1.0,Suburbs or outskirts of big city,Yes,"I am a female. I am 62 years old and I was born in 1956. I am never married or in a civil partnership. I am from London. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Vocational A-level (AVCE), GCE Applied A level, NVQ/SVQ Level 3, GNVQ/GSVQ Advanced, Edexcel/BTEC/BEC/TEC. I finished my full-time education at age 18. In the last week I have mainly been paid work. My occupation is Gardeners, horticultural and nursery growers. I have never been a member of a trade union. My household income is in the 3rd decile nationally. I would say that we are coping on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 9. On a scale from 0 to 10, my life satisfaction is 9. I meet socially with friends, relatives or colleagues once a month. On a scale from 0 to 10, I believe most people can be trusted: 4. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 6. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am not at all interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. I voted for Other. On a scale from 0 to 10, my trust in parliament is 0. On a scale from 0 to 10, my trust in politicians is 0. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.5290951728820801,2.4683315753936768,1.3059823513031006,1474,12193
3785,GB,United Kingdom,Female,77.0,1941.0,,UKM,None of these,Retired,Elementary occupation,Coping on present income,Yes,Yes,No,10.0,At least once a month,2.0,Country village,Yes,"I am a female. I am 77 years old and I was born in 1941. I am single. I am from Scotland. I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 15. In the last week I have mainly been retired. My occupation is Cleaners and helpers in offices, hotels and other establishments. I have never been a member of a trade union. My household income is in the 6th decile nationally. I would say that we are coping on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 10. On a scale from 0 to 10, my life satisfaction is 10. I meet socially with friends, relatives or colleagues once a month. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 9. On a scale from 0 to 10, I believe most people try to be helpful: 7. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 6. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 10. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 7. I have not felt discriminated against in the last 12 months.",1.0187729597091675,1.0345332622528076,2.4683315753936768,2.5535712242126465,1549,12343
3797,GB,United Kingdom,Female,52.0,1967.0,,UKF,None of these,"Housework, looking after children, others",prefer not to say,Coping on present income,Yes,Yes,Yes,,Once a week,2.0,Suburbs or outskirts of big city,No,"I am a female. I am 52 years old and I was born in 1967. I am single. I am from East Midlands (England). I was born in this country. I am a citizen of this country. I belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 14. In the last week I have mainly been housework, looking after children, others. I have never been a member of a trade union. I would say that we are coping on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 6. I meet socially with friends, relatives or colleagues once a month. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 5. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 10. I am not at all interested in politics. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 1. On a scale from 0 to 10, my trust in politicians is 1. I have felt discriminated against in the last 12 months.",1.0187729597091675,0.8130585551261902,2.4683315753936768,2.0068981647491455,1587,12385
3807,GB,United Kingdom,Female,63.0,1956.0,,UKJ,"Nursing certificate, Teacher training, HE Diploma, Edexcel/BTEC/BEC/TEC - Higher National Diploma (HND), OCR/RSA",Retired,Professional,Living comfortably on present income,Yes,Yes,No,5.0,Only on special holy days,3.0,Country village,Yes,"I am a female. I am 63 years old and I was born in 1956. I am single. I am from South East (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Nursing certificate, Teacher training, HE Diploma, Edexcel/BTEC/BEC/TEC - Higher National Diploma (HND), OCR/RSA. I finished my full-time education at age 18. In the last week I have mainly been retired. My occupation is Management and organization analysts. I was previously a member of a trade union but am not now. My household income is in the 9th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 7. I meet socially with friends, relatives or colleagues every day. On a scale from 0 to 10, I believe most people can be trusted: 6. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 6. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 5. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 3. On a scale from 0 to 10, my trust in politicians is 3. I have not felt discriminated against in the last 12 months.",1.528159499168396,1.2899104356765747,2.4683315753936768,3.183926582336426,1514,12257
3825,GB,United Kingdom,Female,60.0,1958.0,None of these (NEVER married or in legally registered civil partnership),UKK,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",Paid work,Craft or related trades worker,Coping on present income,Yes,Yes,No,2.0,Never,1.0,Town or small city,Yes,"I am a female. I am 60 years old and I was born in 1958. I am never married or in a civil partnership. I am from South West (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 22. In the last week I have mainly been paid work. My occupation is Handicraft workers. I was previously a member of a trade union but am not now. My household income is in the 1st decile nationally. I would say that we are coping on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 7. On a scale from 0 to 10, I believe most people try to be helpful: 8. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 2. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 6. On a scale from 0 to 10, my trust in politicians is 6. I have felt discriminated against in the last 12 months.",0.5093864798545837,0.45348024368286133,2.4683315753936768,1.1193395853042603,1442,12447
3918,GB,United Kingdom,Female,33.0,1986.0,None of these (NEVER married or in legally registered civil partnership),UKI,"3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc)","Unemployed, looking for job",Technician or associate professional,Coping on present income,No,Yes,No,,Once a week,2.0,A big city,No,"I am a female. I am 33 years old and I was born in 1986. I am never married or in a civil partnership. I am from London. I was not born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is 3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc). I finished my full-time education at age 18. In the last week I have mainly been unemployed, looking for job. My occupation is Social work associate professionals. I was previously a member of a trade union but am not now. My household income is in the 2nd decile nationally. I would say that we are coping on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 6. On a scale from 0 to 10, my life satisfaction is 6. I meet socially with friends, relatives or colleagues never. On a scale from 0 to 10, I believe most people can be trusted: 3. On a scale from 0 to 10, I believe most people try to be fair: 1. On a scale from 0 to 10, I believe most people try to be helpful: 1. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 5. I am not at all interested in politics. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 0. On a scale from 0 to 10, my trust in politicians is 0.",0.5093864798545837,0.7302899360656738,2.4683315753936768,1.8025977611541748,1472,12225
3919,GB,United Kingdom,Male,72.0,1946.0,None of these (NEVER married or in legally registered civil partnership),UKJ,"3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc)",Retired,Professional,Living comfortably on present income,Yes,Yes,No,5.0,Never,1.0,Country village,Yes,"I am a male. I am 72 years old and I was born in 1946. I am never married or in a civil partnership. I am from South East (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is 3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc). I finished my full-time education at age 21. In the last week I have mainly been retired. My occupation is Other health professionals. I was previously a member of a trade union but am not now. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 9. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 0. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. On a scale from 0 to 10, my trust in parliament is 1. On a scale from 0 to 10, my trust in politicians is 0. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.3678170144557953,2.4683315753936768,0.9078943729400635,1506,12466
